Species	tank
Acanthostachys_pitcairnioides_H151	0
Acanthostachys_strobilacea_H019	0
Aechmea_alba_K23819	1
Aechmea_bambusoides_BB102	1
Aechmea_bromelifolia_BB116	1
Aechmea_calyculata	1
Aechmea_chantinii_K4	1
Aechmea_distichantha_H008	1
Aechmea_drakeana_H042	1
Aechmea_farinosa_H272	1
Aechmea_fasciata_K5	1
Aechmea_filicaulis_H248	1
Aechmea_fulgens_H144	1
Aechmea_gamosepala	1
Aechmea_gracilis_H043	1
Aechmea_guainumbiorum_BB099	NA
Aechmea_kertesziae_H270	1
Aechmea_lamarchei_H242	1
Aechmea_lueddemanniana_H150	1
Aechmea_mertensii_H044	1
Aechmea_mexicana_H256	1
Aechmea_nudicaulis	1
Aechmea_paniculata_B001	1
Aechmea_pimenti_H271	1
Aechmea_racinae_H257	1
Aechmea_recurvata_J014	1
Aechmea_romeroi_K24549	1
Aechmea_turbinocalyx_K24459	1
Ananas_ananassoides_R111	0
Ananas_bracteatus_R106	0
Ananas_comosus_H136	0
Ananas_fritzmuller_R105	0
Ananas_nanus_H040	0
Androlepis_skinneri_H048	1
Araeococcus_flagellifolius_K9	0
Araeococcus_goeldianus_H206	1
Billbergia_amoena_H298	1
Billbergia_decora_H129	1
Billbergia_nutans_H280	1
Billbergia_tweediana_BB121	1
Bromelia_antiacantha_K24443	0
Bromelia_irwinii_K24444	0
Bromelia_pinguin_B008	0
Bromelia_plumieri_MB119	0
Bromelia_serra_H029	0
Canistropsis_billbergioides_citr_B007	1
Canistropsis_microps_H301	1
Canistrum_aurantiacum_BB092	1
Canistrum_camacaenses_H302	1
Canistrum_cyathiformis_R102	1
Canistrum_fosterianum_H047	1
Chevaliera_cariocae	1
Chevaliera_sphaerocephala_H030	1
Cryptanthus_bahianus_H214	0
Cryptanthus_bromelioides	0
Cryptanthus_colnagui_H303	0
Cryptanthus_diamantinensis_H311	0
Cryptanthus_glaziovii_H215	0
Cryptanthus_odoratissimus_BB122	0
Cryptanthus_warren_BB123	0
Deinacanthon_urbanianum_H140	0
Disteganthus_basi_H304	0
Edmundoa_ambigua_BB124	1
Edmundoa_lindenii_H213	1
Edmundoa_perplexa_BB125	1
Fascicularia_bicolor_H006a	0
Fernseea_itatiaiae_H067b	0
Greigia_mulfordii_H111	0
Greigia_spec_H157	0
Greigia_sphacelata_H004	0
Hohenbergia_eriostachya	1
Hohenbergia_penduliflora_H306	1
Hohenbergia_polycephala_BB126	1
Hohenbergia_proctori_BB127	1
Hohenbergia_stellata_H037	1
Hohenbergia_urbaniana_BB128	1
Hohenbergiopsis_guatemalensis_H138	1
Lymania_alvimii_H087	1
Lymania_corallinae_H307	1
Neoglaziovia_variegata_H052	0
Neoregelia_bicolor_H081	1
Neoregelia_binotii_EU219682	1
Neoregelia_laevis_H080	1
Nidularium_procerum_H137	1
Ochagavia_andina_C096	0
Ochagavia_elegans_H023	0
Ochagavia_litoralis_H015	0
Orthophytum_albopictum_BB006	0
Orthophytum_compactum_BB129	0
Orthophytum_diamantinense_ORT71	0
Orthophytum_disjunctum	0
Orthophytum_harleyi_ORT61	0
Orthophytum_maracasense	0
Orthophytum_saxicola_BB120	0
Orthophytum_supthutii_H223	0
Orthophytum_ulei_BB119	0
Orthophytum_vagans_BB130_H308	0
Portea_grandiflora_EU780885	1
Portea_kermesina_B006	1
Portea_lepthanta_H239	1
Portea_petropolitana_H053	1
Pseudananas_sagenarius_K24447	0
Quesnelia_arvensis_EU780886	1
Quesnelia_edmundoi_H050	1
Quesnelia_lateralis_H051	1
Quesnelia_liboniana_H220	1
Quesnelia_quesneliana_H309	1
Ronnbergia_explodens_H210	0
Ronnbergia_petersii_H120	1
Streptocalyx_colombianus_B009	NA
Streptocalyx_poeppigii_H267	1
Ursulaea_macvaughii_H310	1
Ursulaea_tuitensis_H033	1
Wittrockia_superba_H049	1
