Species	trait
Acanthostachys_pitcairnioides_H151	2
Acanthostachys_strobilacea_H019	2
Aechmea_alba_K23819	1
Aechmea_bambusoides_BB102	1
Aechmea_bromelifolia_BB116	1
Aechmea_calyculata	1
Aechmea_chantinii_K4	1
Aechmea_distichantha_H008	1
Aechmea_drakeana_H042	1
Aechmea_farinosa_H272	1
Aechmea_fasciata_K5	1
Aechmea_filicaulis_H248	1
Aechmea_fulgens_H144	1
Aechmea_gamosepala	1
Aechmea_gracilis_H043	1
Aechmea_guainumbiorum_BB099	0
Aechmea_kertesziae_H270	1
Aechmea_lamarchei_H242	1
Aechmea_lueddemanniana_H150	1
Aechmea_mertensii_H044	1
Aechmea_mexicana_H256	1
Aechmea_nudicaulis	1
Aechmea_paniculata_B001	1
Aechmea_pimenti_H271	1
Aechmea_racinae_H257	1
Aechmea_recurvata_J014	1
Aechmea_romeroi_K24549	1
Aechmea_turbinocalyx_K24459	1
Ananas_ananassoides_R111	2
Ananas_bracteatus_R106	2
Ananas_comosus_H136	2
Ananas_fritzmuller_R105	2
Ananas_nanus_H040	2
Androlepis_skinneri_H048	1
Araeococcus_flagellifolius_K9	2
Araeococcus_goeldianus_H206	1
Billbergia_amoena_H298	1
Billbergia_decora_H129	1
Billbergia_nutans_H280	1
Billbergia_tweediana_BB121	1
Bromelia_antiacantha_K24443	2
Bromelia_irwinii_K24444	2
Bromelia_pinguin_B008	2
Bromelia_plumieri_MB119	2
Bromelia_serra_H029	2
Canistropsis_billbergioides_citr_B007	1
Canistropsis_microps_H301	1
Canistrum_aurantiacum_BB092	1
Canistrum_camacaenses_H302	1
Canistrum_cyathiformis_R102	1
Canistrum_fosterianum_H047	1
Chevaliera_cariocae	1
Chevaliera_sphaerocephala_H030	1
Cryptanthus_bahianus_H214	2
Cryptanthus_bromelioides	2
Cryptanthus_colnagui_H303	2
Cryptanthus_diamantinensis_H311	2
Cryptanthus_glaziovii_H215	2
Cryptanthus_odoratissimus_BB122	2
Cryptanthus_warren_BB123	2
Deinacanthon_urbanianum_H140	2
Disteganthus_basi_H304	2
Edmundoa_ambigua_BB124	1
Edmundoa_lindenii_H213	1
Edmundoa_perplexa_BB125	1
Fascicularia_bicolor_H006a	2
Fernseea_itatiaiae_H067b	2
Greigia_mulfordii_H111	2
Greigia_spec_H157	2
Greigia_sphacelata_H004	2
Hohenbergia_eriostachya	0
Hohenbergia_penduliflora_H306	0
Hohenbergia_polycephala_BB126	0
Hohenbergia_proctori_BB127	0
Hohenbergia_stellata_H037	0
Hohenbergia_urbaniana_BB128	0
Hohenbergiopsis_guatemalensis_H138	1
Lymania_alvimii_H087	1
Lymania_corallinae_H307	1
Neoglaziovia_variegata_H052	2
Neoregelia_bicolor_H081	1
Neoregelia_binotii_EU219682	1
Neoregelia_laevis_H080	0
Nidularium_procerum_H137	1
Ochagavia_andina_C096	2
Ochagavia_elegans_H023	2
Ochagavia_litoralis_H015	2
Orthophytum_albopictum_BB006	2
Orthophytum_compactum_BB129	2
Orthophytum_diamantinense_ORT71	2
Orthophytum_disjunctum	2
Orthophytum_harleyi_ORT61	2
Orthophytum_maracasense	2
Orthophytum_saxicola_BB120	2
Orthophytum_supthutii_H223	2
Orthophytum_ulei_BB119	2
Orthophytum_vagans_BB130_H308	2
Portea_grandiflora_EU780885	1
Portea_kermesina_B006	1
Portea_lepthanta_H239	1
Portea_petropolitana_H053	1
Pseudananas_sagenarius_K24447	2
Quesnelia_arvensis_EU780886	0
Quesnelia_edmundoi_H050	0
Quesnelia_lateralis_H051	0
Quesnelia_liboniana_H220	0
Quesnelia_quesneliana_H309	0
Ronnbergia_explodens_H210	0
Ronnbergia_petersii_H120	0
Streptocalyx_colombianus_B009	2
Streptocalyx_poeppigii_H267	0
Ursulaea_macvaughii_H310	0
Ursulaea_tuitensis_H033	0
Wittrockia_superba_H049	0
