Species	trait
Acanthostachys_pitcairnioides_H151	3
Acanthostachys_strobilacea_H019	3
Aechmea_alba_K23819	1
Aechmea_bambusoides_BB102	1
Aechmea_bromelifolia_BB116	1
Aechmea_calyculata	1
Aechmea_chantinii_K4	1
Aechmea_distichantha_H008	1
Aechmea_drakeana_H042	1
Aechmea_farinosa_H272	1
Aechmea_fasciata_K5	1
Aechmea_filicaulis_H248	1
Aechmea_fulgens_H144	1
Aechmea_gamosepala	1
Aechmea_gracilis_H043	1
Aechmea_guainumbiorum_BB099	2
Aechmea_kertesziae_H270	1
Aechmea_lamarchei_H242	1
Aechmea_lueddemanniana_H150	1
Aechmea_mertensii_H044	1
Aechmea_mexicana_H256	1
Aechmea_nudicaulis	1
Aechmea_paniculata_B001	1
Aechmea_pimenti_H271	1
Aechmea_racinae_H257	1
Aechmea_recurvata_J014	1
Aechmea_romeroi_K24549	1
Aechmea_turbinocalyx_K24459	1
Ananas_ananassoides_R111	3
Ananas_bracteatus_R106	3
Ananas_comosus_H136	3
Ananas_fritzmuller_R105	3
Ananas_nanus_H040	3
Androlepis_skinneri_H048	1
Araeococcus_flagellifolius_K9	3
Araeococcus_goeldianus_H206	1
Billbergia_amoena_H298	1
Billbergia_decora_H129	1
Billbergia_nutans_H280	1
Billbergia_tweediana_BB121	1
Bromelia_antiacantha_K24443	3
Bromelia_irwinii_K24444	3
Bromelia_pinguin_B008	3
Bromelia_plumieri_MB119	3
Bromelia_serra_H029	3
Canistropsis_billbergioides_citr_B007	1
Canistropsis_microps_H301	1
Canistrum_aurantiacum_BB092	1
Canistrum_camacaenses_H302	1
Canistrum_cyathiformis_R102	1
Canistrum_fosterianum_H047	1
Chevaliera_cariocae	1
Chevaliera_sphaerocephala_H030	1
Cryptanthus_bahianus_H214	3
Cryptanthus_bromelioides	3
Cryptanthus_colnagui_H303	3
Cryptanthus_diamantinensis_H311	3
Cryptanthus_glaziovii_H215	3
Cryptanthus_odoratissimus_BB122	3
Cryptanthus_warren_BB123	3
Deinacanthon_urbanianum_H140	3
Disteganthus_basi_H304	3
Edmundoa_ambigua_BB124	1
Edmundoa_lindenii_H213	1
Edmundoa_perplexa_BB125	1
Fascicularia_bicolor_H006a	3
Fernseea_itatiaiae_H067b	3
Greigia_mulfordii_H111	3
Greigia_spec_H157	3
Greigia_sphacelata_H004	3
Hohenbergia_eriostachya	2
Hohenbergia_penduliflora_H306	2
Hohenbergia_polycephala_BB126	2
Hohenbergia_proctori_BB127	2
Hohenbergia_stellata_H037	2
Hohenbergia_urbaniana_BB128	2
Hohenbergiopsis_guatemalensis_H138	1
Lymania_alvimii_H087	1
Lymania_corallinae_H307	1
Neoglaziovia_variegata_H052	3
Neoregelia_bicolor_H081	1
Neoregelia_binotii_EU219682	1
Neoregelia_laevis_H080	2
Nidularium_procerum_H137	1
Ochagavia_andina_C096	3
Ochagavia_elegans_H023	3
Ochagavia_litoralis_H015	3
Orthophytum_albopictum_BB006	3
Orthophytum_compactum_BB129	3
Orthophytum_diamantinense_ORT71	3
Orthophytum_disjunctum	3
Orthophytum_harleyi_ORT61	3
Orthophytum_maracasense	3
Orthophytum_saxicola_BB120	3
Orthophytum_supthutii_H223	3
Orthophytum_ulei_BB119	3
Orthophytum_vagans_BB130_H308	3
Portea_grandiflora_EU780885	1
Portea_kermesina_B006	1
Portea_lepthanta_H239	1
Portea_petropolitana_H053	1
Pseudananas_sagenarius_K24447	3
Quesnelia_arvensis_EU780886	2
Quesnelia_edmundoi_H050	2
Quesnelia_lateralis_H051	2
Quesnelia_liboniana_H220	2
Quesnelia_quesneliana_H309	2
Ronnbergia_explodens_H210	2
Ronnbergia_petersii_H120	2
Streptocalyx_colombianus_B009	3
Streptocalyx_poeppigii_H267	2
Ursulaea_macvaughii_H310	2
Ursulaea_tuitensis_H033	2
Wittrockia_superba_H049	2
